DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1984-03-01,1984,1,3,VALOR12_TNOTES212,1984-03-01T00:00:00-03:00,11.31
1984-04-01,1984,1,4,VALOR12_TNOTES212,1984-04-01T00:00:00-03:00,11.69
1984-05-01,1984,1,5,VALOR12_TNOTES212,1984-05-01T00:00:00-03:00,12.47
1984-06-01,1984,1,6,VALOR12_TNOTES212,1984-06-01T00:00:00-03:00,12.91
1984-07-01,1984,1,7,VALOR12_TNOTES212,1984-07-01T00:00:00-03:00,12.88
1984-08-01,1984,1,8,VALOR12_TNOTES212,1984-08-01T00:00:00-03:00,12.43
1984-09-01,1984,1,9,VALOR12_TNOTES212,1984-09-01T00:00:00-03:00,12.2
1984-10-01,1984,1,10,VALOR12_TNOTES212,1984-10-01T00:00:00-03:00,11.6
1984-11-01,1984,1,11,VALOR12_TNOTES212,1984-11-01T00:00:00-03:00,10.65
1984-12-01,1984,1,12,VALOR12_TNOTES212,1984-12-01T00:00:00-02:00,10.18
1985-01-01,1985,1,1,VALOR12_TNOTES212,1985-01-01T00:00:00-02:00,9.93
1985-02-01,1985,1,2,VALOR12_TNOTES212,1985-02-01T00:00:00-02:00,10.17
1985-03-01,1985,1,3,VALOR12_TNOTES212,1985-03-01T00:00:00-03:00,10.71
1985-04-01,1985,1,4,VALOR12_TNOTES212,1985-04-01T00:00:00-03:00,10.09
1985-05-01,1985,1,5,VALOR12_TNOTES212,1985-05-01T00:00:00-03:00,9.39
1985-06-01,1985,1,6,VALOR12_TNOTES212,1985-06-01T00:00:00-03:00,8.69
1985-07-01,1985,1,7,VALOR12_TNOTES212,1985-07-01T00:00:00-03:00,8.77
1985-08-01,1985,1,8,VALOR12_TNOTES212,1985-08-01T00:00:00-03:00,8.94
1985-09-01,1985,1,9,VALOR12_TNOTES212,1985-09-01T00:00:00-03:00,8.98
1985-10-01,1985,1,10,VALOR12_TNOTES212,1985-10-01T00:00:00-03:00,8.86
1985-11-01,1985,1,11,VALOR12_TNOTES212,1985-11-01T00:00:00-03:00,8.58
1985-12-01,1985,1,12,VALOR12_TNOTES212,1985-12-01T00:00:00-02:00,8.15
1986-01-01,1986,1,1,VALOR12_TNOTES212,1986-01-01T00:00:00-02:00,8.14
1986-02-01,1986,1,2,VALOR12_TNOTES212,1986-02-01T00:00:00-02:00,7.97
1986-03-01,1986,1,3,VALOR12_TNOTES212,1986-03-01T00:00:00-03:00,7.21
1986-04-01,1986,1,4,VALOR12_TNOTES212,1986-04-01T00:00:00-03:00,6.7
1986-05-01,1986,1,5,VALOR12_TNOTES212,1986-05-01T00:00:00-03:00,7.07
1986-06-01,1986,1,6,VALOR12_TNOTES212,1986-06-01T00:00:00-03:00,7.18
1986-07-01,1986,1,7,VALOR12_TNOTES212,1986-07-01T00:00:00-03:00,6.67
1986-08-01,1986,1,8,VALOR12_TNOTES212,1986-08-01T00:00:00-03:00,6.33
1986-09-01,1986,1,9,VALOR12_TNOTES212,1986-09-01T00:00:00-03:00,6.35
1986-10-01,1986,1,10,VALOR12_TNOTES212,1986-10-01T00:00:00-03:00,6.28
1986-11-01,1986,1,11,VALOR12_TNOTES212,1986-11-01T00:00:00-03:00,6.28
1986-12-01,1986,1,12,VALOR12_TNOTES212,1986-12-01T00:00:00-02:00,6.27
1987-01-01,1987,1,1,VALOR12_TNOTES212,1987-01-01T00:00:00-02:00,6.23
1987-02-01,1987,1,2,VALOR12_TNOTES212,1987-02-01T00:00:00-02:00,6.4
1987-03-01,1987,1,3,VALOR12_TNOTES212,1987-03-01T00:00:00-03:00,6.42
1987-04-01,1987,1,4,VALOR12_TNOTES212,1987-04-01T00:00:00-03:00,7.02
1987-05-01,1987,1,5,VALOR12_TNOTES212,1987-05-01T00:00:00-03:00,7.76
1987-06-01,1987,1,6,VALOR12_TNOTES212,1987-06-01T00:00:00-03:00,7.57
1987-07-01,1987,1,7,VALOR12_TNOTES212,1987-07-01T00:00:00-03:00,7.44
1987-08-01,1987,1,8,VALOR12_TNOTES212,1987-08-01T00:00:00-03:00,7.75
1987-09-01,1987,1,9,VALOR12_TNOTES212,1987-09-01T00:00:00-03:00,8.34
1987-10-01,1987,1,10,VALOR12_TNOTES212,1987-10-01T00:00:00-03:00,8.4
1987-11-01,1987,1,11,VALOR12_TNOTES212,1987-11-01T00:00:00-03:00,7.69
1987-12-01,1987,1,12,VALOR12_TNOTES212,1987-12-01T00:00:00-02:00,7.86
1988-01-01,1988,1,1,VALOR12_TNOTES212,1988-01-01T00:00:00-02:00,7.63
1988-02-01,1988,1,2,VALOR12_TNOTES212,1988-02-01T00:00:00-02:00,7.18
1988-03-01,1988,1,3,VALOR12_TNOTES212,1988-03-01T00:00:00-03:00,7.27
1988-04-01,1988,1,4,VALOR12_TNOTES212,1988-04-01T00:00:00-03:00,7.59
1988-05-01,1988,1,5,VALOR12_TNOTES212,1988-05-01T00:00:00-03:00,8.0
1988-06-01,1988,1,6,VALOR12_TNOTES212,1988-06-01T00:00:00-03:00,8.03
1988-07-01,1988,1,7,VALOR12_TNOTES212,1988-07-01T00:00:00-03:00,8.28
1988-08-01,1988,1,8,VALOR12_TNOTES212,1988-08-01T00:00:00-03:00,8.63
1988-09-01,1988,1,9,VALOR12_TNOTES212,1988-09-01T00:00:00-03:00,8.46
1988-10-01,1988,1,10,VALOR12_TNOTES212,1988-10-01T00:00:00-03:00,8.35
1988-11-01,1988,1,11,VALOR12_TNOTES212,1988-11-01T00:00:00-03:00,8.67
1988-12-01,1988,1,12,VALOR12_TNOTES212,1988-12-01T00:00:00-02:00,9.09
1989-01-01,1989,1,1,VALOR12_TNOTES212,1989-01-01T00:00:00-02:00,9.18
1989-02-01,1989,1,2,VALOR12_TNOTES212,1989-02-01T00:00:00-02:00,9.37
1989-03-01,1989,1,3,VALOR12_TNOTES212,1989-03-01T00:00:00-03:00,9.68
