DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1984-04-01,1984,1,4,VALOR12_TBOND3012,1984-04-01T00:00:00-03:00,12.65
1984-05-01,1984,1,5,VALOR12_TBOND3012,1984-05-01T00:00:00-03:00,13.43
1984-06-01,1984,1,6,VALOR12_TBOND3012,1984-06-01T00:00:00-03:00,13.44
1984-07-01,1984,1,7,VALOR12_TBOND3012,1984-07-01T00:00:00-03:00,13.21
1984-08-01,1984,1,8,VALOR12_TBOND3012,1984-08-01T00:00:00-03:00,12.54
1984-09-01,1984,1,9,VALOR12_TBOND3012,1984-09-01T00:00:00-03:00,12.29
1984-10-01,1984,1,10,VALOR12_TBOND3012,1984-10-01T00:00:00-03:00,11.98
1984-11-01,1984,1,11,VALOR12_TBOND3012,1984-11-01T00:00:00-03:00,11.56
1984-12-01,1984,1,12,VALOR12_TBOND3012,1984-12-01T00:00:00-02:00,11.52
1985-01-01,1985,1,1,VALOR12_TBOND3012,1985-01-01T00:00:00-02:00,11.45
1985-02-01,1985,1,2,VALOR12_TBOND3012,1985-02-01T00:00:00-02:00,11.47
1985-03-01,1985,1,3,VALOR12_TBOND3012,1985-03-01T00:00:00-03:00,11.81
1985-04-01,1985,1,4,VALOR12_TBOND3012,1985-04-01T00:00:00-03:00,11.47
1985-05-01,1985,1,5,VALOR12_TBOND3012,1985-05-01T00:00:00-03:00,11.05
1985-06-01,1985,1,6,VALOR12_TBOND3012,1985-06-01T00:00:00-03:00,10.45
1985-07-01,1985,1,7,VALOR12_TBOND3012,1985-07-01T00:00:00-03:00,10.5
1985-08-01,1985,1,8,VALOR12_TBOND3012,1985-08-01T00:00:00-03:00,10.56
1985-09-01,1985,1,9,VALOR12_TBOND3012,1985-09-01T00:00:00-03:00,10.61
1985-10-01,1985,1,10,VALOR12_TBOND3012,1985-10-01T00:00:00-03:00,10.5
1985-11-01,1985,1,11,VALOR12_TBOND3012,1985-11-01T00:00:00-03:00,10.06
1985-12-01,1985,1,12,VALOR12_TBOND3012,1985-12-01T00:00:00-02:00,9.54
1986-01-01,1986,1,1,VALOR12_TBOND3012,1986-01-01T00:00:00-02:00,9.4
1986-02-01,1986,1,2,VALOR12_TBOND3012,1986-02-01T00:00:00-02:00,8.93
1986-03-01,1986,1,3,VALOR12_TBOND3012,1986-03-01T00:00:00-03:00,7.96
1986-04-01,1986,1,4,VALOR12_TBOND3012,1986-04-01T00:00:00-03:00,7.39
1986-05-01,1986,1,5,VALOR12_TBOND3012,1986-05-01T00:00:00-03:00,7.52
1986-06-01,1986,1,6,VALOR12_TBOND3012,1986-06-01T00:00:00-03:00,7.57
1986-07-01,1986,1,7,VALOR12_TBOND3012,1986-07-01T00:00:00-03:00,7.27
1986-08-01,1986,1,8,VALOR12_TBOND3012,1986-08-01T00:00:00-03:00,7.33
1986-09-01,1986,1,9,VALOR12_TBOND3012,1986-09-01T00:00:00-03:00,7.62
1986-10-01,1986,1,10,VALOR12_TBOND3012,1986-10-01T00:00:00-03:00,7.7
1986-11-01,1986,1,11,VALOR12_TBOND3012,1986-11-01T00:00:00-03:00,7.52
1986-12-01,1986,1,12,VALOR12_TBOND3012,1986-12-01T00:00:00-02:00,7.37
1987-01-01,1987,1,1,VALOR12_TBOND3012,1987-01-01T00:00:00-02:00,7.39
1987-02-01,1987,1,2,VALOR12_TBOND3012,1987-02-01T00:00:00-02:00,7.54
1987-03-01,1987,1,3,VALOR12_TBOND3012,1987-03-01T00:00:00-03:00,7.55
1987-04-01,1987,1,4,VALOR12_TBOND3012,1987-04-01T00:00:00-03:00,8.25
1987-05-01,1987,1,5,VALOR12_TBOND3012,1987-05-01T00:00:00-03:00,8.78
1987-06-01,1987,1,6,VALOR12_TBOND3012,1987-06-01T00:00:00-03:00,8.57
1987-07-01,1987,1,7,VALOR12_TBOND3012,1987-07-01T00:00:00-03:00,8.64
1987-08-01,1987,1,8,VALOR12_TBOND3012,1987-08-01T00:00:00-03:00,8.97
1987-09-01,1987,1,9,VALOR12_TBOND3012,1987-09-01T00:00:00-03:00,9.59
1987-10-01,1987,1,10,VALOR12_TBOND3012,1987-10-01T00:00:00-03:00,9.61
1987-11-01,1987,1,11,VALOR12_TBOND3012,1987-11-01T00:00:00-03:00,8.95
1987-12-01,1987,1,12,VALOR12_TBOND3012,1987-12-01T00:00:00-02:00,9.12
1988-01-01,1988,1,1,VALOR12_TBOND3012,1988-01-01T00:00:00-02:00,8.83
1988-02-01,1988,1,2,VALOR12_TBOND3012,1988-02-01T00:00:00-02:00,8.43
1988-03-01,1988,1,3,VALOR12_TBOND3012,1988-03-01T00:00:00-03:00,8.63
1988-04-01,1988,1,4,VALOR12_TBOND3012,1988-04-01T00:00:00-03:00,8.95
1988-05-01,1988,1,5,VALOR12_TBOND3012,1988-05-01T00:00:00-03:00,9.23
1988-06-01,1988,1,6,VALOR12_TBOND3012,1988-06-01T00:00:00-03:00,9.0
1988-07-01,1988,1,7,VALOR12_TBOND3012,1988-07-01T00:00:00-03:00,9.14
1988-08-01,1988,1,8,VALOR12_TBOND3012,1988-08-01T00:00:00-03:00,9.32
1988-09-01,1988,1,9,VALOR12_TBOND3012,1988-09-01T00:00:00-03:00,9.06
1988-10-01,1988,1,10,VALOR12_TBOND3012,1988-10-01T00:00:00-03:00,8.89
1988-11-01,1988,1,11,VALOR12_TBOND3012,1988-11-01T00:00:00-03:00,9.02
1988-12-01,1988,1,12,VALOR12_TBOND3012,1988-12-01T00:00:00-02:00,9.01
1989-01-01,1989,1,1,VALOR12_TBOND3012,1989-01-01T00:00:00-02:00,8.93
1989-02-01,1989,1,2,VALOR12_TBOND3012,1989-02-01T00:00:00-02:00,9.01
1989-03-01,1989,1,3,VALOR12_TBOND3012,1989-03-01T00:00:00-03:00,9.17
1989-04-01,1989,1,4,VALOR12_TBOND3012,1989-04-01T00:00:00-03:00,9.03
1989-05-01,1989,1,5,VALOR12_TBOND3012,1989-05-01T00:00:00-03:00,8.83
1989-06-01,1989,1,6,VALOR12_TBOND3012,1989-06-01T00:00:00-03:00,8.27
1989-07-01,1989,1,7,VALOR12_TBOND3012,1989-07-01T00:00:00-03:00,8.08
1989-08-01,1989,1,8,VALOR12_TBOND3012,1989-08-01T00:00:00-03:00,8.12
1989-09-01,1989,1,9,VALOR12_TBOND3012,1989-09-01T00:00:00-03:00,8.15
1989-10-01,1989,1,10,VALOR12_TBOND3012,1989-10-01T00:00:00-03:00,8.0
1989-11-01,1989,1,11,VALOR12_TBOND3012,1989-11-01T00:00:00-03:00,7.9
1989-12-01,1989,1,12,VALOR12_TBOND3012,1989-12-01T00:00:00-02:00,7.9
1990-01-01,1990,1,1,VALOR12_TBOND3012,1990-01-01T00:00:00-02:00,8.26
1990-02-01,1990,1,2,VALOR12_TBOND3012,1990-02-01T00:00:00-02:00,8.5
1990-03-01,1990,1,3,VALOR12_TBOND3012,1990-03-01T00:00:00-03:00,8.56
1990-04-01,1990,1,4,VALOR12_TBOND3012,1990-04-01T00:00:00-03:00,8.76
1990-05-01,1990,1,5,VALOR12_TBOND3012,1990-05-01T00:00:00-03:00,8.73
1990-06-01,1990,1,6,VALOR12_TBOND3012,1990-06-01T00:00:00-03:00,8.46
1990-07-01,1990,1,7,VALOR12_TBOND3012,1990-07-01T00:00:00-03:00,8.5
1990-08-01,1990,1,8,VALOR12_TBOND3012,1990-08-01T00:00:00-03:00,8.86
1990-09-01,1990,1,9,VALOR12_TBOND3012,1990-09-01T00:00:00-03:00,9.03
1990-10-01,1990,1,10,VALOR12_TBOND3012,1990-10-01T00:00:00-03:00,8.86
1990-11-01,1990,1,11,VALOR12_TBOND3012,1990-11-01T00:00:00-03:00,8.54
1990-12-01,1990,1,12,VALOR12_TBOND3012,1990-12-01T00:00:00-02:00,8.24
1991-01-01,1991,1,1,VALOR12_TBOND3012,1991-01-01T00:00:00-02:00,8.27
1991-02-01,1991,1,2,VALOR12_TBOND3012,1991-02-01T00:00:00-02:00,8.03
1991-03-01,1991,1,3,VALOR12_TBOND3012,1991-03-01T00:00:00-03:00,8.29
1991-04-01,1991,1,4,VALOR12_TBOND3012,1991-04-01T00:00:00-03:00,8.21
1991-05-01,1991,1,5,VALOR12_TBOND3012,1991-05-01T00:00:00-03:00,8.27
1991-06-01,1991,1,6,VALOR12_TBOND3012,1991-06-01T00:00:00-03:00,8.47
1991-07-01,1991,1,7,VALOR12_TBOND3012,1991-07-01T00:00:00-03:00,8.45
1991-08-01,1991,1,8,VALOR12_TBOND3012,1991-08-01T00:00:00-03:00,8.14
1991-09-01,1991,1,9,VALOR12_TBOND3012,1991-09-01T00:00:00-03:00,7.95
1991-10-01,1991,1,10,VALOR12_TBOND3012,1991-10-01T00:00:00-03:00,7.93
1991-11-01,1991,1,11,VALOR12_TBOND3012,1991-11-01T00:00:00-03:00,7.92
1991-12-01,1991,1,12,VALOR12_TBOND3012,1991-12-01T00:00:00-02:00,7.7
1992-01-01,1992,1,1,VALOR12_TBOND3012,1992-01-01T00:00:00-02:00,7.58
1992-02-01,1992,1,2,VALOR12_TBOND3012,1992-02-01T00:00:00-02:00,7.85
1992-03-01,1992,1,3,VALOR12_TBOND3012,1992-03-01T00:00:00-03:00,7.97
1992-04-01,1992,1,4,VALOR12_TBOND3012,1992-04-01T00:00:00-03:00,7.96
1992-05-01,1992,1,5,VALOR12_TBOND3012,1992-05-01T00:00:00-03:00,7.89
1992-06-01,1992,1,6,VALOR12_TBOND3012,1992-06-01T00:00:00-03:00,7.84
1992-07-01,1992,1,7,VALOR12_TBOND3012,1992-07-01T00:00:00-03:00,7.6
1992-08-01,1992,1,8,VALOR12_TBOND3012,1992-08-01T00:00:00-03:00,7.39
1992-09-01,1992,1,9,VALOR12_TBOND3012,1992-09-01T00:00:00-03:00,7.34
1992-10-01,1992,1,10,VALOR12_TBOND3012,1992-10-01T00:00:00-03:00,7.53
1992-11-01,1992,1,11,VALOR12_TBOND3012,1992-11-01T00:00:00-03:00,7.61
1992-12-01,1992,1,12,VALOR12_TBOND3012,1992-12-01T00:00:00-02:00,7.44
1993-01-01,1993,1,1,VALOR12_TBOND3012,1993-01-01T00:00:00-02:00,7.34
1993-02-01,1993,1,2,VALOR12_TBOND3012,1993-02-01T00:00:00-02:00,7.09
1993-03-01,1993,1,3,VALOR12_TBOND3012,1993-03-01T00:00:00-03:00,6.82
1993-04-01,1993,1,4,VALOR12_TBOND3012,1993-04-01T00:00:00-03:00,6.85
1993-05-01,1993,1,5,VALOR12_TBOND3012,1993-05-01T00:00:00-03:00,6.92
1993-06-01,1993,1,6,VALOR12_TBOND3012,1993-06-01T00:00:00-03:00,6.81
1993-07-01,1993,1,7,VALOR12_TBOND3012,1993-07-01T00:00:00-03:00,6.63
1993-08-01,1993,1,8,VALOR12_TBOND3012,1993-08-01T00:00:00-03:00,6.32
