DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1993-10-01,1993,1,10,VALOR12_TNOTES512,1993-10-01T00:00:00-03:00,4.71
1993-11-01,1993,1,11,VALOR12_TNOTES512,1993-11-01T00:00:00-03:00,5.06
1993-12-01,1993,1,12,VALOR12_TNOTES512,1993-12-01T00:00:00-02:00,5.15
1994-01-01,1994,1,1,VALOR12_TNOTES512,1994-01-01T00:00:00-02:00,5.09
1994-02-01,1994,1,2,VALOR12_TNOTES512,1994-02-01T00:00:00-02:00,5.4
1994-03-01,1994,1,3,VALOR12_TNOTES512,1994-03-01T00:00:00-03:00,5.94
1994-04-01,1994,1,4,VALOR12_TNOTES512,1994-04-01T00:00:00-03:00,6.52
1994-05-01,1994,1,5,VALOR12_TNOTES512,1994-05-01T00:00:00-03:00,6.78
1994-06-01,1994,1,6,VALOR12_TNOTES512,1994-06-01T00:00:00-03:00,6.7
1994-07-01,1994,1,7,VALOR12_TNOTES512,1994-07-01T00:00:00-03:00,6.91
1994-08-01,1994,1,8,VALOR12_TNOTES512,1994-08-01T00:00:00-03:00,6.88
1994-09-01,1994,1,9,VALOR12_TNOTES512,1994-09-01T00:00:00-03:00,7.08
1994-10-01,1994,1,10,VALOR12_TNOTES512,1994-10-01T00:00:00-03:00,7.4
1994-11-01,1994,1,11,VALOR12_TNOTES512,1994-11-01T00:00:00-03:00,7.72
1994-12-01,1994,1,12,VALOR12_TNOTES512,1994-12-01T00:00:00-02:00,7.78
1995-01-01,1995,1,1,VALOR12_TNOTES512,1995-01-01T00:00:00-02:00,7.76
1995-02-01,1995,1,2,VALOR12_TNOTES512,1995-02-01T00:00:00-02:00,7.37
1995-03-01,1995,1,3,VALOR12_TNOTES512,1995-03-01T00:00:00-03:00,7.05
1995-04-01,1995,1,4,VALOR12_TNOTES512,1995-04-01T00:00:00-03:00,6.86
1995-05-01,1995,1,5,VALOR12_TNOTES512,1995-05-01T00:00:00-03:00,6.41
1995-06-01,1995,1,6,VALOR12_TNOTES512,1995-06-01T00:00:00-03:00,5.93
1995-07-01,1995,1,7,VALOR12_TNOTES512,1995-07-01T00:00:00-03:00,6.01
1995-08-01,1995,1,8,VALOR12_TNOTES512,1995-08-01T00:00:00-03:00,6.24
1995-09-01,1995,1,9,VALOR12_TNOTES512,1995-09-01T00:00:00-03:00,6.0
1995-10-01,1995,1,10,VALOR12_TNOTES512,1995-10-01T00:00:00-03:00,5.86
1995-11-01,1995,1,11,VALOR12_TNOTES512,1995-11-01T00:00:00-03:00,5.69
1995-12-01,1995,1,12,VALOR12_TNOTES512,1995-12-01T00:00:00-02:00,5.51
1996-01-01,1996,1,1,VALOR12_TNOTES512,1996-01-01T00:00:00-02:00,5.36
1996-02-01,1996,1,2,VALOR12_TNOTES512,1996-02-01T00:00:00-02:00,5.38
1996-03-01,1996,1,3,VALOR12_TNOTES512,1996-03-01T00:00:00-03:00,5.97
1996-04-01,1996,1,4,VALOR12_TNOTES512,1996-04-01T00:00:00-03:00,6.3
1996-05-01,1996,1,5,VALOR12_TNOTES512,1996-05-01T00:00:00-03:00,6.48
1996-06-01,1996,1,6,VALOR12_TNOTES512,1996-06-01T00:00:00-03:00,6.69
1996-07-01,1996,1,7,VALOR12_TNOTES512,1996-07-01T00:00:00-03:00,6.64
1996-08-01,1996,1,8,VALOR12_TNOTES512,1996-08-01T00:00:00-03:00,6.39
1996-09-01,1996,1,9,VALOR12_TNOTES512,1996-09-01T00:00:00-03:00,6.6
1996-10-01,1996,1,10,VALOR12_TNOTES512,1996-10-01T00:00:00-03:00,6.27
1996-11-01,1996,1,11,VALOR12_TNOTES512,1996-11-01T00:00:00-03:00,5.97
1996-12-01,1996,1,12,VALOR12_TNOTES512,1996-12-01T00:00:00-02:00,6.07
1997-01-01,1997,1,1,VALOR12_TNOTES512,1997-01-01T00:00:00-02:00,6.33
1997-02-01,1997,1,2,VALOR12_TNOTES512,1997-02-01T00:00:00-02:00,6.2
1997-03-01,1997,1,3,VALOR12_TNOTES512,1997-03-01T00:00:00-03:00,6.54
1997-04-01,1997,1,4,VALOR12_TNOTES512,1997-04-01T00:00:00-03:00,6.76
1997-05-01,1997,1,5,VALOR12_TNOTES512,1997-05-01T00:00:00-03:00,6.57
1997-06-01,1997,1,6,VALOR12_TNOTES512,1997-06-01T00:00:00-03:00,6.38
1997-07-01,1997,1,7,VALOR12_TNOTES512,1997-07-01T00:00:00-03:00,6.12
1997-08-01,1997,1,8,VALOR12_TNOTES512,1997-08-01T00:00:00-03:00,6.16
1997-09-01,1997,1,9,VALOR12_TNOTES512,1997-09-01T00:00:00-03:00,6.11
1997-10-01,1997,1,10,VALOR12_TNOTES512,1997-10-01T00:00:00-03:00,5.93
1997-11-01,1997,1,11,VALOR12_TNOTES512,1997-11-01T00:00:00-03:00,5.8
1997-12-01,1997,1,12,VALOR12_TNOTES512,1997-12-01T00:00:00-02:00,5.77
1998-01-01,1998,1,1,VALOR12_TNOTES512,1998-01-01T00:00:00-02:00,5.42
1998-02-01,1998,1,2,VALOR12_TNOTES512,1998-02-01T00:00:00-02:00,5.61
1998-03-01,1998,1,3,VALOR12_TNOTES512,1998-03-01T00:00:00-03:00,5.61
1998-04-01,1998,1,4,VALOR12_TNOTES512,1998-04-01T00:00:00-03:00,5.61
1998-05-01,1998,1,5,VALOR12_TNOTES512,1998-05-01T00:00:00-03:00,5.63
1998-06-01,1998,1,6,VALOR12_TNOTES512,1998-06-01T00:00:00-03:00,5.52
1998-07-01,1998,1,7,VALOR12_TNOTES512,1998-07-01T00:00:00-03:00,5.46
1998-08-01,1998,1,8,VALOR12_TNOTES512,1998-08-01T00:00:00-03:00,5.27
1998-09-01,1998,1,9,VALOR12_TNOTES512,1998-09-01T00:00:00-03:00,4.62
1998-10-01,1998,1,10,VALOR12_TNOTES512,1998-10-01T00:00:00-03:00,4.18
1998-11-01,1998,1,11,VALOR12_TNOTES512,1998-11-01T00:00:00-03:00,4.54
1998-12-01,1998,1,12,VALOR12_TNOTES512,1998-12-01T00:00:00-02:00,4.45
1999-01-01,1999,1,1,VALOR12_TNOTES512,1999-01-01T00:00:00-02:00,4.6
1999-02-01,1999,1,2,VALOR12_TNOTES512,1999-02-01T00:00:00-02:00,4.91
1999-03-01,1999,1,3,VALOR12_TNOTES512,1999-03-01T00:00:00-03:00,5.14
1999-04-01,1999,1,4,VALOR12_TNOTES512,1999-04-01T00:00:00-03:00,5.08
1999-05-01,1999,1,5,VALOR12_TNOTES512,1999-05-01T00:00:00-03:00,5.44
1999-06-01,1999,1,6,VALOR12_TNOTES512,1999-06-01T00:00:00-03:00,5.81
1999-07-01,1999,1,7,VALOR12_TNOTES512,1999-07-01T00:00:00-03:00,5.68
1999-08-01,1999,1,8,VALOR12_TNOTES512,1999-08-01T00:00:00-03:00,5.84
