DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1971-02-01,1971,1,2,VALOR12_TNOTES1012,1971-02-01T00:00:00-02:00,6.11
1971-03-01,1971,1,3,VALOR12_TNOTES1012,1971-03-01T00:00:00-03:00,5.7
1971-04-01,1971,1,4,VALOR12_TNOTES1012,1971-04-01T00:00:00-03:00,5.83
1971-05-01,1971,1,5,VALOR12_TNOTES1012,1971-05-01T00:00:00-03:00,6.39
1971-06-01,1971,1,6,VALOR12_TNOTES1012,1971-06-01T00:00:00-03:00,6.52
1971-07-01,1971,1,7,VALOR12_TNOTES1012,1971-07-01T00:00:00-03:00,6.73
1971-08-01,1971,1,8,VALOR12_TNOTES1012,1971-08-01T00:00:00-03:00,6.58
1971-09-01,1971,1,9,VALOR12_TNOTES1012,1971-09-01T00:00:00-03:00,6.14
1971-10-01,1971,1,10,VALOR12_TNOTES1012,1971-10-01T00:00:00-03:00,5.93
1971-11-01,1971,1,11,VALOR12_TNOTES1012,1971-11-01T00:00:00-03:00,5.81
1971-12-01,1971,1,12,VALOR12_TNOTES1012,1971-12-01T00:00:00-02:00,5.93
1972-01-01,1972,1,1,VALOR12_TNOTES1012,1972-01-01T00:00:00-02:00,5.95
1972-02-01,1972,1,2,VALOR12_TNOTES1012,1972-02-01T00:00:00-02:00,6.08
1972-03-01,1972,1,3,VALOR12_TNOTES1012,1972-03-01T00:00:00-03:00,6.07
1972-04-01,1972,1,4,VALOR12_TNOTES1012,1972-04-01T00:00:00-03:00,6.19
1972-05-01,1972,1,5,VALOR12_TNOTES1012,1972-05-01T00:00:00-03:00,6.13
1972-06-01,1972,1,6,VALOR12_TNOTES1012,1972-06-01T00:00:00-03:00,6.11
1972-07-01,1972,1,7,VALOR12_TNOTES1012,1972-07-01T00:00:00-03:00,6.11
1972-08-01,1972,1,8,VALOR12_TNOTES1012,1972-08-01T00:00:00-03:00,6.21
1972-09-01,1972,1,9,VALOR12_TNOTES1012,1972-09-01T00:00:00-03:00,6.55
1972-10-01,1972,1,10,VALOR12_TNOTES1012,1972-10-01T00:00:00-03:00,6.48
1972-11-01,1972,1,11,VALOR12_TNOTES1012,1972-11-01T00:00:00-03:00,6.28
1972-12-01,1972,1,12,VALOR12_TNOTES1012,1972-12-01T00:00:00-02:00,6.36
1973-01-01,1973,1,1,VALOR12_TNOTES1012,1973-01-01T00:00:00-02:00,6.46
1973-02-01,1973,1,2,VALOR12_TNOTES1012,1973-02-01T00:00:00-02:00,6.64
1973-03-01,1973,1,3,VALOR12_TNOTES1012,1973-03-01T00:00:00-03:00,6.71
1973-04-01,1973,1,4,VALOR12_TNOTES1012,1973-04-01T00:00:00-03:00,6.67
1973-05-01,1973,1,5,VALOR12_TNOTES1012,1973-05-01T00:00:00-03:00,6.85
1973-06-01,1973,1,6,VALOR12_TNOTES1012,1973-06-01T00:00:00-03:00,6.9
1973-07-01,1973,1,7,VALOR12_TNOTES1012,1973-07-01T00:00:00-03:00,7.13
1973-08-01,1973,1,8,VALOR12_TNOTES1012,1973-08-01T00:00:00-03:00,7.4
1973-09-01,1973,1,9,VALOR12_TNOTES1012,1973-09-01T00:00:00-03:00,7.09
1973-10-01,1973,1,10,VALOR12_TNOTES1012,1973-10-01T00:00:00-03:00,6.79
1973-11-01,1973,1,11,VALOR12_TNOTES1012,1973-11-01T00:00:00-03:00,6.73
1973-12-01,1973,1,12,VALOR12_TNOTES1012,1973-12-01T00:00:00-02:00,6.74
1974-01-01,1974,1,1,VALOR12_TNOTES1012,1974-01-01T00:00:00-02:00,6.99
1974-02-01,1974,1,2,VALOR12_TNOTES1012,1974-02-01T00:00:00-02:00,6.96
1974-03-01,1974,1,3,VALOR12_TNOTES1012,1974-03-01T00:00:00-03:00,7.21
1974-04-01,1974,1,4,VALOR12_TNOTES1012,1974-04-01T00:00:00-03:00,7.51
1974-05-01,1974,1,5,VALOR12_TNOTES1012,1974-05-01T00:00:00-03:00,7.58
1974-06-01,1974,1,6,VALOR12_TNOTES1012,1974-06-01T00:00:00-03:00,7.54
1974-07-01,1974,1,7,VALOR12_TNOTES1012,1974-07-01T00:00:00-03:00,7.81
1974-08-01,1974,1,8,VALOR12_TNOTES1012,1974-08-01T00:00:00-03:00,8.04
1974-09-01,1974,1,9,VALOR12_TNOTES1012,1974-09-01T00:00:00-03:00,8.04
1974-10-01,1974,1,10,VALOR12_TNOTES1012,1974-10-01T00:00:00-03:00,7.9
1974-11-01,1974,1,11,VALOR12_TNOTES1012,1974-11-01T00:00:00-03:00,7.68
1974-12-01,1974,1,12,VALOR12_TNOTES1012,1974-12-01T00:00:00-02:00,7.43
1975-01-01,1975,1,1,VALOR12_TNOTES1012,1975-01-01T00:00:00-02:00,7.5
1975-02-01,1975,1,2,VALOR12_TNOTES1012,1975-02-01T00:00:00-02:00,7.39
1975-03-01,1975,1,3,VALOR12_TNOTES1012,1975-03-01T00:00:00-03:00,7.73
1975-04-01,1975,1,4,VALOR12_TNOTES1012,1975-04-01T00:00:00-03:00,8.23
1975-05-01,1975,1,5,VALOR12_TNOTES1012,1975-05-01T00:00:00-03:00,8.06
1975-06-01,1975,1,6,VALOR12_TNOTES1012,1975-06-01T00:00:00-03:00,7.86
1975-07-01,1975,1,7,VALOR12_TNOTES1012,1975-07-01T00:00:00-03:00,8.06
1975-08-01,1975,1,8,VALOR12_TNOTES1012,1975-08-01T00:00:00-03:00,8.4
1975-09-01,1975,1,9,VALOR12_TNOTES1012,1975-09-01T00:00:00-03:00,8.43
1975-10-01,1975,1,10,VALOR12_TNOTES1012,1975-10-01T00:00:00-03:00,8.14
1975-11-01,1975,1,11,VALOR12_TNOTES1012,1975-11-01T00:00:00-03:00,8.05
1975-12-01,1975,1,12,VALOR12_TNOTES1012,1975-12-01T00:00:00-02:00,8.0
1976-01-01,1976,1,1,VALOR12_TNOTES1012,1976-01-01T00:00:00-02:00,7.74
