DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Kg)
2002-03-01,2002,1,3,SECEX12_XGASOLKG12,2002-03-01T00:00:00-03:00,385816781.0
2002-04-01,2002,1,4,SECEX12_XGASOLKG12,2002-04-01T00:00:00-03:00,200143571.0
2002-05-01,2002,1,5,SECEX12_XGASOLKG12,2002-05-01T00:00:00-03:00,184820580.0
2002-06-01,2002,1,6,SECEX12_XGASOLKG12,2002-06-01T00:00:00-03:00,314929187.0
2002-07-01,2002,1,7,SECEX12_XGASOLKG12,2002-07-01T00:00:00-03:00,91919426.0
2002-08-01,2002,1,8,SECEX12_XGASOLKG12,2002-08-01T00:00:00-03:00,263120494.0
2002-09-01,2002,1,9,SECEX12_XGASOLKG12,2002-09-01T00:00:00-03:00,141780174.0
2002-10-01,2002,1,10,SECEX12_XGASOLKG12,2002-10-01T00:00:00-03:00,279220275.0
2002-11-01,2002,1,11,SECEX12_XGASOLKG12,2002-11-01T00:00:00-03:00,188290928.0
2002-12-01,2002,1,12,SECEX12_XGASOLKG12,2002-12-01T00:00:00-02:00,128937264.0
2003-01-01,2003,1,1,SECEX12_XGASOLKG12,2003-01-01T00:00:00-02:00,264233173.0
2003-02-01,2003,1,2,SECEX12_XGASOLKG12,2003-02-01T00:00:00-02:00,70436473.0
2003-03-01,2003,1,3,SECEX12_XGASOLKG12,2003-03-01T00:00:00-03:00,188798102.0
2003-04-01,2003,1,4,SECEX12_XGASOLKG12,2003-04-01T00:00:00-03:00,159472884.0
2003-05-01,2003,1,5,SECEX12_XGASOLKG12,2003-05-01T00:00:00-03:00,179561192.0
2003-06-01,2003,1,6,SECEX12_XGASOLKG12,2003-06-01T00:00:00-03:00,434303.0
2003-07-01,2003,1,7,SECEX12_XGASOLKG12,2003-07-01T00:00:00-03:00,167401216.0
2003-08-01,2003,1,8,SECEX12_XGASOLKG12,2003-08-01T00:00:00-03:00,225103728.0
2003-09-01,2003,1,9,SECEX12_XGASOLKG12,2003-09-01T00:00:00-03:00,195675801.0
2003-10-01,2003,1,10,SECEX12_XGASOLKG12,2003-10-01T00:00:00-03:00,203487885.0
2003-11-01,2003,1,11,SECEX12_XGASOLKG12,2003-11-01T00:00:00-03:00,182098140.0
2003-12-01,2003,1,12,SECEX12_XGASOLKG12,2003-12-01T00:00:00-02:00,161105951.0
2004-01-01,2004,1,1,SECEX12_XGASOLKG12,2004-01-01T00:00:00-02:00,15856509.0
2004-02-01,2004,1,2,SECEX12_XGASOLKG12,2004-02-01T00:00:00-02:00,78687848.0
2004-03-01,2004,1,3,SECEX12_XGASOLKG12,2004-03-01T00:00:00-03:00,78119974.0
2004-04-01,2004,1,4,SECEX12_XGASOLKG12,2004-04-01T00:00:00-03:00,194370947.0
2004-05-01,2004,1,5,SECEX12_XGASOLKG12,2004-05-01T00:00:00-03:00,77352405.0
2004-06-01,2004,1,6,SECEX12_XGASOLKG12,2004-06-01T00:00:00-03:00,251906267.0
2004-07-01,2004,1,7,SECEX12_XGASOLKG12,2004-07-01T00:00:00-03:00,113998097.0
2004-08-01,2004,1,8,SECEX12_XGASOLKG12,2004-08-01T00:00:00-03:00,264754130.0
2004-09-01,2004,1,9,SECEX12_XGASOLKG12,2004-09-01T00:00:00-03:00,28398621.0
2004-10-01,2004,1,10,SECEX12_XGASOLKG12,2004-10-01T00:00:00-03:00,76525584.0
2004-11-01,2004,1,11,SECEX12_XGASOLKG12,2004-11-01T00:00:00-03:00,42903212.0
